"","local_site","location","depth","year","date","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP"
"1","GL3","LAKE",0,1998,1998-07-22,12.95,9.495,3.46,1.061,8.435,0.23,0.126,0.1,0.126,NA
"2","GL4","LAKE",0,1998,1998-07-24,11.57,10.616,0.96,2.007,8.609,0.33,0.32,0.01,0.32,NA
"3","GL1","LAKE",0,1998,1998-07-29,9.47,9.688,NA,0.985,8.703,0.27,0.252,0.02,0.252,NA
"4","GL3","LAKE",0,1998,1998-07-29,12.61,10.945,1.66,3.819,7.126,0.23,0.229,NA,0.229,NA
"5","GL3","OUTLET",0,1998,1998-07-29,14.42,12.244,2.18,2.62,9.624,0.45,0.149,0.3,0.149,NA
"6","GL3","LAKE",0,1998,1998-08-05,10.3,10.081,0.22,3.114,6.967,0.26,0.165,0.09,0.165,NA
"7","GL4","LAKE",0,1998,1998-08-05,10,8.089,1.91,1.412,6.677,0.32,0.19,0.13,0.19,NA
"8","GL3","LAKE",0,1998,1998-08-10,8.48,7.596,0.89,1.782,5.814,0.22,0.213,NA,0.213,NA
"9","GL4","LAKE",0,1998,1998-08-10,10.94,7.746,3.19,0.938,6.808,0.47,0.107,0.37,0.107,NA
"10","GL3","LAKE",0,1998,1998-08-20,8.76,5.833,2.93,0.463,5.37,0.21,0.061,0.15,0.061,NA
"11","GL4","LAKE",0,1998,1998-08-20,8.71,7.882,0.83,2.616,5.266,0.28,0.029,0.26,0.029,NA
"12","GL3","LAKE",0,1998,1998-09-02,6.55,5.126,1.43,2.454,2.672,0.1,0.039,0.06,0.039,NA
"13","GL4","LAKE",0,1998,1998-09-02,9.15,6.69,2.46,1.17,5.519,0.3,0.1,0.2,0.1,NA
"14","GL3","LAKE",0,1998,1998-09-16,7.05,5.812,1.24,2.391,3.421,0.04,0.029,0.01,0.029,NA
"15","GL4","LAKE",0,1998,1998-09-16,7.97,6.747,1.22,1.432,5.314,0.41,0.11,0.3,0.11,NA
"16","GL3","LAKE",0,1998,1998-09-18,7.02,6.326,0.69,2.682,3.643,0.3,0.194,0.11,0.194,NA
"17","GL4","LAKE",0,1999,1999-01-27,24.84,24.395,0.44,6.013,18.382,0.31,0.303,NA,0.194,NA
"18","GL4","OUTLET",0,1999,1999-05-26,21.22,20.076,1.14,0.115,19.961,0.21,0.149,0.06,0.149,NA
"19","GL4","OUTLET",0,1999,1999-06-17,38.1,35.961,2.14,1.358,34.604,0.22,0.236,NA,0.236,NA
"20","GL4","OUTLET",0,1999,1999-06-30,21.51,23.653,NA,4.251,19.402,0.28,0.229,0.05,0.229,NA
"21","GL4","LAKE",0,1999,1999-07-20,15.39,14.579,0.81,2.112,12.467,0.12,0.116,0.01,0.116,NA
"22","GL4","LAKE",0,1999,1999-07-27,14.91,13.144,1.76,1.492,11.651,0.16,NA,0.16,NA,NA
"23","GL3","LAKE",0,1999,1999-07-30,13.24,13.244,NA,5.131,8.112,0.17,NA,0.17,NA,0.11
"24","GL4","LAKE",0,2000,2000-07-06,NA,NA,NA,NA,12.031,0.22,0.09,0.13,0.09,NA
"25","GL4","LAKE",0,2000,2000-07-13,NA,NA,NA,NA,9.914,0.14,0.074,0.07,0.074,NA
"26","GL4","LAKE",0,2000,2000-07-20,NA,NA,NA,NA,9.253,0.26,0.249,0.01,0.126,0.123
"27","GL4","INLET",0,2000,2000-07-25,NA,NA,NA,NA,9.435,0.26,0.229,0.03,0.229,NA
"28","GL4","OUTLET",0,2000,2000-07-25,NA,NA,NA,NA,7.586,0.23,0.165,0.06,0.165,NA
"29","GL4","LAKE",0,2000,2000-07-27,NA,NA,NA,NA,7.371,0.29,0.194,0.1,NA,0.194
"30","GL4","LAKE",0,2000,2000-08-03,NA,NA,NA,NA,5.926,0.18,0.061,0.12,0.061,NA
"31","GL4","LAKE",0,2000,2000-08-10,NA,NA,NA,NA,3.669,0.27,0.145,0.13,0.145,NA
"32","GL4","LAKE",0,2001,2001-06-28,NA,NA,NA,NA,18.809,0.11,0.116,NA,0.116,NA
"33","GL4","LAKE",0,2001,2001-07-06,NA,NA,NA,NA,14.661,0.17,0.107,0.06,0.107,NA
"34","GL4","LAKE",0,2001,2001-07-12,NA,NA,NA,NA,16.725,0.23,0.097,0.13,0.097,NA
"35","GL4","LAKE",0,2001,2001-07-19,NA,NA,NA,NA,16.243,0.25,0.11,0.14,0.11,NA
"36","GL4","LAKE",0,2001,2001-07-26,NA,21.786,NA,6.766,15.021,0.17,0.116,0.05,0.116,NA
"37","GL4","LAKE",0,2001,2001-08-03,NA,15.846,NA,5.475,10.37,0.15,0.158,NA,0.158,NA
"38","GL4","LAKE",0,2002,2002-06-25,23.42,23.467,NA,4.002,19.465,0.15,0.077,0.08,0.077,NA
"39","GL4","INLET",0,2002,2002-06-27,24.76,25.98,NA,6.321,19.66,0.22,0.187,0.03,0.187,NA
"40","GL4","OUTLET",0,2002,2002-06-27,24.14,21.825,2.31,3.553,18.273,0.16,0.155,0.01,0.155,NA
"41","GL4","LAKE",0,2002,2002-07-02,22.9,20.09,2.81,3.448,16.643,0.16,0.142,0.02,0.142,NA
"42","GL4","LAKE",0,2002,2002-07-09,18.34,16.849,1.49,2.559,14.29,0.13,0.061,0.07,0.061,NA
"43","GL4","LAKE",0,2002,2002-07-16,16.84,15.75,1.09,3.088,12.661,0.14,NA,0.14,NA,NA
"44","GL4","LAKE",0,2002,2002-07-23,16.66,13.922,2.74,2.432,11.489,0.12,0.058,0.06,0.058,NA
"45","GL4","LAKE",0,2002,2002-07-30,16.91,15.385,1.53,3.978,11.407,0.21,0.19,0.02,0.039,0.152
"46","GL4","LAKE",0,2002,2002-08-06,18.02,16.706,1.31,5.728,10.979,0.22,0.123,0.09,0.123,NA
"47","GL4","LAKE",0,2003,2003-07-08,18.43,18.17,0.26,2.09,16.08,0.45,0.116,0.33,0.116,NA
"48","GL4","LAKE",0,2003,2003-07-15,15.76,15.128,0.63,NA,15.48,0.24,0.188,0.05,0.188,NA
"49","GL4","LAKE",0,2003,2003-07-22,15.02,14.996,0.03,NA,15.451,0.15,0.136,0.01,0.136,NA
"50","GL4","LAKE",0,2003,2003-07-29,14.86,15.287,NA,1.054,14.232,0.14,0.042,0.1,0.042,NA
"51","GL4","LAKE",0,2003,2003-08-12,16.88,16.818,0.06,4.88,11.937,0.22,0.139,0.08,0.139,NA
"52","GL4","INLET",0,2004,2004-06-22,38.83,39.502,NA,6.08,33.422,0.34,0.187,0.16,0.187,NA
"53","GL4","OUTLET",0,2004,2004-06-22,38.98,37.796,1.19,7.298,30.498,0.21,0.121,0.09,0.121,NA
"54","GL4","INLET",0,2004,2004-06-29,34.7,34.223,0.47,4.603,29.621,0.19,0.176,0.02,0.176,NA
"55","GL4","OUTLET",0,2004,2004-06-29,31.54,31.015,0.53,5.246,25.769,0.17,0.135,0.03,0.135,NA
"56","GL4","INLET",0,2004,2004-07-06,27.66,26.085,1.58,1.459,24.626,0.14,0.137,NA,0.137,NA
"57","GL4","LAKE",0,2004,2004-07-06,28.6,29.107,NA,4.334,24.772,0.13,0.144,NA,0.144,NA
"58","GL4","OUTLET",0,2004,2004-07-06,30.25,28.924,1.33,4.539,24.385,0.14,0.16,NA,0.16,NA
"59","GL4","INLET",0,2004,2004-07-13,25.35,24.587,0.76,4.669,19.918,0.12,0.115,NA,0.074,0.041
"60","GL4","LAKE",0,2004,2004-07-13,26.63,26.788,NA,6.758,20.031,0.22,0.238,NA,0.238,NA
"61","GL4","OUTLET",0,2004,2004-07-13,27.96,27.405,0.55,5.487,21.918,0.18,0.191,NA,0.191,NA
"62","GL4","INLET",0,2004,2004-07-20,22.43,20.994,1.44,1.286,19.708,0.21,0.168,0.04,0.168,NA
"63","GL4","LAKE",0,2004,2004-07-20,26.83,25.588,1.24,6.073,19.515,0.31,0.323,NA,0.323,NA
"64","GL4","OUTLET",0,2004,2004-07-20,26.97,26.061,0.91,6.627,19.434,0.18,0.145,0.04,0.145,NA
"65","GL4","INLET",0,2004,2004-07-27,23.32,22.68,0.64,3.794,18.886,0.19,0.186,0.01,0.186,NA
"66","GL4","LAKE",0,2004,2004-07-27,24.44,20.853,3.58,1.306,19.547,0.2,0.107,0.1,0.107,NA
"67","GL4","OUTLET",0,2004,2004-07-27,24.33,22.846,1.49,3.476,19.369,0.15,0.107,0.04,0.107,NA
"68","GL4","INLET",0,2004,2004-08-03,27.56,26.235,1.33,7.249,18.985,0.38,0.302,0.07,0.302,NA
"69","GL4","LAKE",0,2004,2004-08-03,31.21,29.024,2.19,9.823,19.201,0.3,0.178,0.12,0.178,NA
"70","GL4","OUTLET",0,2004,2004-08-03,22.53,22.603,NA,6.155,16.448,0.23,0.176,0.06,0.176,NA
"71","GL4","INLET",0,2004,2004-08-12,18.45,17.171,1.28,2.259,14.913,0.27,0.184,0.09,0.184,NA
"72","GL4","LAKE",0,2004,2004-08-12,22.73,22.239,0.49,6.646,15.593,0.29,0.26,0.03,0.26,NA
"73","GL4","OUTLET",0,2004,2004-08-12,24.34,22.87,1.47,8.199,14.671,0.28,0.271,0.01,0.271,NA
