"","local_site","location","year","date","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP"
"1","ARIKAREE","GLACIER",1994,1994-05-26,NA,NA,NA,NA,56.05,NA,NA,NA,NA,NA
"2","ARIKAREE","GLACIER",1994,1994-06-02,NA,NA,NA,NA,34.99,NA,NA,NA,NA,NA
"3","ARIKAREE","GLACIER",1994,1994-06-09,NA,NA,NA,NA,49,NA,NA,NA,NA,NA
"4","ARIKAREE","GLACIER",1994,1994-06-16,NA,NA,NA,NA,31.81,NA,NA,NA,NA,NA
"5","ARIKAREE","GLACIER",1994,1994-06-23,NA,NA,NA,NA,26.13,NA,NA,NA,NA,NA
"6","ARIKAREE","GLACIER",1994,1994-06-30,NA,NA,NA,NA,21.61,NA,NA,NA,NA,NA
"7","ARIKAREE","GLACIER",1994,1994-07-07,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA
"8","ARIKAREE","GLACIER",1994,1994-07-14,NA,NA,NA,NA,14.12,NA,NA,NA,NA,NA
"9","ARIKAREE","GLACIER",1994,1994-07-21,NA,NA,NA,NA,14.71,NA,NA,NA,NA,NA
"10","ARIKAREE","GLACIER",1994,1994-07-28,NA,NA,NA,NA,12.95,NA,NA,NA,NA,NA
"11","ARIKAREE","GLACIER",1994,1994-08-04,NA,NA,NA,NA,16.01,NA,NA,NA,NA,NA
"12","ARIKAREE","GLACIER",1994,1994-08-11,NA,NA,NA,NA,11.49,NA,NA,NA,NA,NA
"13","ARIKAREE","GLACIER",1994,1994-08-18,NA,NA,NA,NA,12.49,NA,NA,NA,NA,NA
"14","ARIKAREE","GLACIER",1994,1994-08-25,NA,NA,NA,NA,11.26,NA,NA,NA,NA,NA
"15","ARIKAREE","GLACIER",1994,1994-09-01,NA,NA,NA,NA,15.26,NA,NA,NA,NA,NA
"16","ARIKAREE","GLACIER",1994,1994-09-08,NA,NA,NA,NA,12.93,NA,NA,NA,NA,NA
"17","ARIKAREE","GLACIER",1994,1994-09-15,NA,NA,NA,NA,24.74,NA,NA,NA,NA,NA
"18","ARIKAREE","GLACIER",1994,1994-09-22,NA,NA,NA,NA,40.69,NA,NA,NA,NA,NA
"19","ARIKAREE","GLACIER",1994,1994-09-29,NA,NA,NA,NA,33.43,NA,NA,NA,NA,NA
"20","ARIKAREE","GLACIER",1995,1995-06-29,67.64,57.73,9.91,12.05,45.68,NA,NA,NA,NA,NA
"21","ARIKAREE","GLACIER",1995,1995-07-13,30.11,32.14,NA,3.85,28.29,0.49,0.39,0.1,NA,NA
"22","ARIKAREE","GLACIER",1995,1995-07-20,23.85,23.96,NA,0.22,23.74,0.32,0.32,NA,NA,NA
"23","ARIKAREE","GLACIER",1995,1995-07-27,22.38,21.85,0.54,1.87,19.97,NA,NA,NA,NA,NA
"24","ARIKAREE","GLACIER",1995,1995-08-03,20.48,20.04,0.44,3.61,16.43,0.11,0.05,0.06,NA,NA
"25","ARIKAREE","GLACIER",1995,1995-08-10,17.21,18.24,NA,3.54,14.71,0.21,NA,0.21,NA,NA
"26","ARIKAREE","GLACIER",1995,1995-08-17,14.94,16.01,NA,2.26,13.75,0.71,0.61,0.1,NA,NA
"27","ARIKAREE","GLACIER",1995,1995-08-24,18.89,17.82,1.07,1.33,16.49,0.06,NA,0.06,NA,NA
"28","ARIKAREE","GLACIER",1995,1995-08-31,12.34,11.02,1.32,NA,12.12,0.2,0.14,0.06,NA,NA
"29","ARIKAREE","GLACIER",1995,1995-09-07,10.27,10.54,NA,1.8,8.75,0.27,0.13,0.14,NA,NA
"30","ARIKAREE","GLACIER",1995,1995-09-14,16.68,13.09,3.6,1.91,11.18,0.17,0.04,0.14,NA,NA
"31","ARIKAREE","GLACIER",1996,1996-06-06,70.75,61.5,9.25,3.95,57.54,0.57,0.38,0.19,NA,NA
"32","ARIKAREE","GLACIER",1996,1996-06-13,32.14,31.88,0.26,4.16,27.71,0.42,0.36,0.06,NA,NA
"33","ARIKAREE","GLACIER",1996,1996-06-20,18.78,18.29,0.49,NA,18.53,0.24,0.15,0.09,NA,NA
"34","ARIKAREE","GLACIER",1996,1996-06-27,26.28,26.22,0.06,NA,23.53,0.21,0.07,0.14,NA,NA
"35","ARIKAREE","GLACIER",1996,1996-07-04,18.87,16.88,1.98,NA,17.52,0.13,0.13,NA,NA,NA
"36","ARIKAREE","GLACIER",1996,1996-07-11,11.67,10.08,1.58,NA,10.68,0,0,NA,NA,NA
"37","ARIKAREE","GLACIER",1996,1996-07-18,9.93,9.32,0.61,NA,10.85,0.14,0,0.14,NA,NA
"38","ARIKAREE","GLACIER",1996,1996-07-25,9.67,10.08,NA,NA,10.11,0.16,0.11,0.05,NA,NA
"39","ARIKAREE","GLACIER",1996,1996-08-01,14.18,11.89,2.28,0.74,11.15,0.24,0.24,0,NA,NA
"40","ARIKAREE","GLACIER",1996,1996-08-08,14.79,10.49,4.31,0.26,10.23,0.2,0.2,NA,NA,NA
"41","ARIKAREE","GLACIER",1996,1996-08-15,8.92,8.91,0.01,NA,9,0.2,0.15,0.05,NA,NA
"42","ARIKAREE","GLACIER",1996,1996-08-22,12.08,11.67,0.41,NA,11.67,0.21,0.19,0.02,NA,NA
"43","ARIKAREE","GLACIER",1996,1996-08-29,11.17,10.56,0.61,NA,10.67,0.32,0.26,0.06,NA,NA
"44","ARIKAREE","GLACIER",1996,1996-09-10,16.36,15.89,0.47,2.28,13.61,0.28,0.29,NA,NA,NA
"45","ARIKAREE","GLACIER",1997,1997-06-05,41.75,44.59,NA,4.52,40.06,NA,NA,NA,NA,NA
"46","ARIKAREE","GLACIER",1997,1997-06-12,69.38,66.28,3.1,4.94,61.34,0.07,0.07,NA,0.07,NA
"47","ARIKAREE","GLACIER",1997,1997-06-19,33.26,33.93,NA,6.04,27.89,0.22,0.17,0.05,0.17,NA
"48","ARIKAREE","GLACIER",1997,1997-06-26,30.16,31.35,NA,6.82,24.53,0.35,0.13,0.22,0.13,NA
