"","local_site","location","year","date","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP"
"1","GL4","LAKE",1994,1994-02-04,NA,NA,NA,NA,8.15,NA,NA,NA,NA,NA
"2","GL4","LAKE",1994,1994-03-04,NA,NA,NA,NA,7.68,NA,NA,NA,NA,NA
"3","GL4","LAKE",1994,1994-04-08,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA
"4","GL4","LAKE",1994,1994-05-02,NA,NA,NA,NA,23.58,NA,NA,NA,NA,NA
"5","GL4","LAKE",1994,1994-05-17,NA,NA,NA,NA,25.47,NA,NA,NA,NA,NA
"6","GL4","LAKE",1994,1994-05-19,NA,NA,NA,NA,26.34,NA,NA,NA,NA,NA
"7","GL4","LAKE",1994,1994-05-26,NA,NA,NA,NA,28.1,NA,NA,NA,NA,NA
"8","GL4","OUTLET",1994,1994-06-02,NA,NA,NA,NA,28.25,NA,NA,NA,NA,NA
"9","GL4","OUTLET",1994,1994-06-09,NA,NA,NA,NA,22.75,NA,NA,NA,NA,NA
"10","GL4","OUTLET",1994,1994-06-16,NA,NA,NA,NA,15.46,NA,NA,NA,NA,NA
"11","GL4","OUTLET",1994,1994-07-07,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA
"12","GL4","OUTLET",1994,1994-07-14,NA,NA,NA,NA,8.13,NA,NA,NA,NA,NA
"13","GL4","OUTLET",1994,1994-08-04,NA,NA,NA,NA,4.11,NA,NA,NA,NA,NA
"14","GL4","OUTLET",1994,1994-08-18,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA
"15","GL4","OUTLET",1994,1994-08-25,NA,NA,NA,NA,7.49,NA,NA,NA,NA,NA
"16","GL4","OUTLET",1994,1994-09-01,NA,NA,NA,NA,8.24,NA,NA,NA,NA,NA
"17","GL4","OUTLET",1994,1994-09-08,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA
"18","GL4","OUTLET",1994,1994-09-15,NA,NA,NA,NA,9.26,NA,NA,NA,NA,NA
"19","GL4","OUTLET",1994,1994-10-13,NA,NA,NA,NA,9.47,NA,NA,NA,NA,NA
"20","GL4","OUTLET",1994,1994-10-13,NA,NA,NA,NA,11.09,NA,NA,NA,NA,NA
"21","GL4","OUTLET",1994,1994-10-27,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA
"22","GL4","OUTLET",1994,1994-10-27,NA,NA,NA,NA,17.97,NA,NA,NA,NA,NA
"23","GL4","LAKE",1994,1994-11-24,NA,NA,NA,NA,15.54,NA,NA,NA,NA,NA
"24","GL4","LAKE",1994,1994-11-24,NA,NA,NA,NA,15.96,NA,NA,NA,NA,NA
"25","GL4","LAKE",1994,1994-12-22,NA,NA,NA,NA,19.27,NA,NA,NA,NA,NA
"26","GL4","LAKE",1995,1995-01-05,NA,NA,NA,NA,24.19,NA,NA,NA,NA,NA
"27","GL4","LAKE",1995,1995-03-18,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA
"28","GL4","LAKE",1995,1995-03-31,NA,NA,NA,NA,17.59,NA,NA,NA,NA,NA
"29","GL4","LAKE",1995,1995-05-05,19.25,19.03,0.22,4.18,14.84,0.23,0.18,0.05,NA,NA
"30","GL4","LAKE",1995,1995-05-26,26.02,23.92,2.1,2.76,21.16,0.27,NA,0.27,NA,NA
"31","GL4","OUTLET",1995,1995-06-02,30.79,30.31,0.49,8.81,21.5,0.58,0.5,0.08,NA,NA
"32","GL4","OUTLET",1995,1995-06-09,57.82,52.1,5.72,NA,52.22,0.26,0.24,0.02,NA,NA
"33","GL4","OUTLET",1995,1995-06-15,27.19,26.41,0.79,NA,26.85,0.46,NA,0.46,NA,NA
"34","GL4","OUTLET",1995,1995-06-22,32.83,30.59,2.25,2.04,28.55,NA,NA,NA,NA,NA
