"","local_site","location","year","date","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP"
"1","GL5","OUTLET",1994,1994-05-19,NA,NA,NA,NA,37.67,NA,NA,NA,NA,NA
"2","GL5","OUTLET",1994,1994-05-26,NA,NA,NA,NA,27.74,NA,NA,NA,NA,NA
"3","GL5","OUTLET",1994,1994-06-02,NA,NA,NA,NA,28.66,NA,NA,NA,NA,NA
"4","GL5","OUTLET",1994,1994-06-09,NA,NA,NA,NA,23.46,NA,NA,NA,NA,NA
"5","GL5","OUTLET",1994,1994-06-16,NA,NA,NA,NA,19.76,NA,NA,NA,NA,NA
"6","GL5","OUTLET",1994,1994-06-23,NA,NA,NA,NA,19.47,NA,NA,NA,NA,NA
"7","GL5","OUTLET",1994,1994-06-30,NA,NA,NA,NA,15.95,NA,NA,NA,NA,NA
"8","GL5","OUTLET",1994,1994-07-07,NA,NA,NA,NA,12.05,NA,NA,NA,NA,NA
"9","GL5","OUTLET",1994,1994-07-14,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA
"10","GL5","OUTLET",1994,1994-07-21,NA,NA,NA,NA,7.59,NA,NA,NA,NA,NA
"11","GL5","OUTLET",1994,1994-07-28,NA,NA,NA,NA,7.48,NA,NA,NA,NA,NA
"12","GL5","OUTLET",1994,1994-08-11,NA,NA,NA,NA,9.51,NA,NA,NA,NA,NA
"13","GL5","OUTLET",1994,1994-08-18,NA,NA,NA,NA,12.56,NA,NA,NA,NA,NA
"14","GL5","OUTLET",1994,1994-08-25,NA,NA,NA,NA,12.89,NA,NA,NA,NA,NA
"15","GL5","OUTLET",1994,1994-09-01,NA,NA,NA,NA,11.51,NA,NA,NA,NA,NA
"16","GL5","OUTLET",1994,1994-09-08,NA,NA,NA,NA,10.28,NA,NA,NA,NA,NA
"17","GL5","OUTLET",1994,1994-09-15,NA,NA,NA,NA,13.39,NA,NA,NA,NA,NA
"18","GL5","OUTLET",1994,1994-09-22,NA,NA,NA,NA,14.64,NA,NA,NA,NA,NA
"19","GL5","OUTLET",1994,1994-10-13,NA,NA,NA,NA,18.22,NA,NA,NA,NA,NA
"20","GL5","OUTLET",1995,1995-06-15,NA,NA,NA,NA,29.44,NA,NA,NA,NA,NA
"21","GL5","OUTLET",1995,1995-06-22,NA,NA,NA,NA,28.25,NA,NA,NA,NA,NA
"22","GL5","OUTLET",1995,1995-06-29,NA,NA,NA,NA,25.23,NA,NA,NA,NA,NA
"23","GL5","OUTLET",1995,1995-07-06,NA,NA,NA,NA,23.59,NA,NA,NA,NA,NA
"24","GL5","OUTLET",1995,1995-07-13,NA,NA,NA,NA,15.87,NA,NA,NA,NA,NA
"25","GL5","OUTLET",1995,1995-07-20,NA,NA,NA,NA,15.66,NA,NA,NA,NA,NA
"26","GL5","OUTLET",1995,1995-07-27,NA,NA,NA,NA,14.22,NA,NA,NA,NA,NA
"27","GL5","OUTLET",1995,1995-08-03,NA,NA,NA,NA,13.05,NA,NA,NA,NA,NA
"28","GL5","OUTLET",1995,1995-08-10,NA,NA,NA,NA,12.02,NA,NA,NA,NA,NA
"29","GL5","OUTLET",1995,1995-08-17,NA,NA,NA,NA,12.65,NA,NA,NA,NA,NA
"30","GL5","OUTLET",1995,1995-08-24,NA,NA,NA,NA,14.24,NA,NA,NA,NA,NA
"31","GL5","OUTLET",1995,1995-08-31,NA,NA,NA,NA,13.18,NA,NA,NA,NA,NA
"32","GL5","OUTLET",1995,1995-09-07,NA,NA,NA,NA,9.77,NA,NA,NA,NA,NA
"33","GL5","OUTLET",1995,1995-09-14,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA
"34","GL5","OUTLET",1995,1995-09-21,NA,NA,NA,NA,6.92,NA,NA,NA,NA,NA
"35","GL5","OUTLET",1995,1995-09-28,NA,NA,NA,NA,4.23,NA,NA,NA,NA,NA
"36","GL5","OUTLET",1996,1996-05-23,NA,NA,NA,NA,32.62,NA,NA,NA,NA,NA
"37","GL5","OUTLET",1996,1996-05-30,NA,NA,NA,NA,38,NA,NA,NA,NA,NA
"38","GL5","OUTLET",1996,1996-06-06,NA,NA,NA,NA,39.89,NA,NA,NA,NA,NA
"39","GL5","OUTLET",1996,1996-06-13,NA,NA,NA,NA,29.75,NA,NA,NA,NA,NA
"40","GL5","OUTLET",1996,1996-06-20,NA,NA,NA,NA,21.63,NA,NA,NA,NA,NA
"41","GL5","OUTLET",1996,1996-06-27,NA,NA,NA,NA,19.26,NA,NA,NA,NA,NA
"42","GL5","OUTLET",1996,1996-07-04,NA,NA,NA,NA,14.14,NA,NA,NA,NA,NA
"43","GL5","OUTLET",1996,1996-07-11,NA,NA,NA,NA,11.37,NA,NA,NA,NA,NA
