"","lake_stream","szn","param","significance","site1","site2","mean","median","min","max","SD","n","site","geometry","img","szncol"
"1","ALBION","baseflow","IN","<0.001","ALB_INLET","ALB_OUTLET",-11.045204288612,-8.94117647058823,-23.2819472616633,1.35496957403651,9.21654472298801,7,"ALB_LAKE",c(-105.604015, 40.046352),"↓","blue4"
"2","ALBION","baseflow","TDN","<0.001","ALB_INLET","ALB_OUTLET",-10.1750217328311,-5.82352941176471,-23.210953346856,0.188640973630832,9.77003081497073,7,"ALB_LAKE",c(-105.604015, 40.046352),"↓","blue4"
"3","ALBION","baseflow","TN","<0.001","ALB_INLET","ALB_OUTLET",-11.5647638365691,-7.42393509127789,-34.3204868154158,1.72413793103448,14.0971608673626,7,"ALB_LAKE",c(-105.604015, 40.046352),"↓","blue4"
"4","ALBION","falling limb","IN","<0.001","ALB_INLET","ALB_OUTLET",-13.2555780933063,-13.6004056795132,-19.0709939148073,-8.21095334685598,4.84471729056839,5,"ALB_LAKE",c(-105.604015, 40.046352),"↓","goldenrod3"
"5","ALBION","falling limb","TDN","<0.001","ALB_INLET","ALB_OUTLET",-11.5139959432049,-13.290060851927,-16.8478701825558,-5.88235294117647,4.65655995795733,5,"ALB_LAKE",c(-105.604015, 40.046352),"↓","goldenrod3"
"6","ALBION","falling limb","TN","<0.001","ALB_INLET","ALB_OUTLET",-9.22515212981745,-9.14807302231238,-15.3144016227181,-2.35294117647059,5.48368194035628,5,"ALB_LAKE",c(-105.604015, 40.046352),"↓","goldenrod3"
"7","ALBION","spring snowmelt","DOP","<0.05","ALB_INLET","ALB_OUTLET",-0.0236646382691007,-0.0851926977687627,-0.129817444219067,0.144016227180527,0.146920034295499,3,"ALB_LAKE",c(-105.604015, 40.046352),"↓","palegreen4"
"8","ALBION","spring snowmelt","IN","<0.001","ALB_INLET","ALB_OUTLET",-26.6020283975659,-26.8701825557809,-30.3711967545639,-21.3002028397566,3.71033959358049,5,"ALB_LAKE",c(-105.604015, 40.046352),"↓","palegreen4"
"9","ALBION","spring snowmelt","TDN","<0.001","ALB_INLET","ALB_OUTLET",-29.5403651115619,-32.1298174442191,-33.841784989858,-23.1217038539554,4.5789457919821,5,"ALB_LAKE",c(-105.604015, 40.046352),"↓","palegreen4"
"10","ALBION","spring snowmelt","TDP","<0.001","ALB_INLET","ALB_OUTLET",0.0155510480054091,-0.0121703853955375,-0.0851926977687627,0.144016227180527,0.117092020315027,3,"ALB_LAKE",c(-105.604015, 40.046352),"↑","palegreen4"
"11","ALBION","spring snowmelt","TN","<0.001","ALB_INLET","ALB_OUTLET",-23.9188640973631,-24.4421906693712,-31.419878296146,-13.1237322515213,6.70136632858292,5,"ALB_LAKE",c(-105.604015, 40.046352),"↓","palegreen4"
"12","GL4","baseflow","DON","<0.001","GL4_INLET","GL4_OUTLET",-0.0490083278544817,-0.0499671268902038,-0.211045364891519,0.0552268244575937,0.0678347749753259,12,"GL4_LAKE",c(-105.620318, 40.055253),"↓","blue4"
"13","GL4","baseflow","DOP","<0.05","GL4_INLET","GL4_OUTLET",-0.00515854953724776,-0.0394477317554241,-0.203155818540434,0.532544378698225,0.188247636000258,13,"GL4_LAKE",c(-105.620318, 40.055253),"↓","blue4"
"14","GL4","baseflow","IN","<0.001","GL4_INLET","GL4_OUTLET",-5.86978595952955,-7.4250493096647,-14.6923076923077,5.83826429980276,6.20125335220304,18,"GL4_LAKE",c(-105.620318, 40.055253),"↓","blue4"
"15","GL4","baseflow","IP","<0.001","GL4_INLET","GL4_OUTLET",-0.0490083278544817,-0.0499671268902038,-0.211045364891519,0.0552268244575937,0.0678347749753259,12,"GL4_LAKE",c(-105.620318, 40.055253),"↓","blue4"
"16","GL4","baseflow","TDN","<0.001","GL4_INLET","GL4_OUTLET",-9.57964961132382,-9.38856015779093,-18.5502958579882,3.37278106508876,6.70584565109894,17,"GL4_LAKE",c(-105.620318, 40.055253),"↓","blue4"
"17","GL4","baseflow","TDP","<0.001","GL4_INLET","GL4_OUTLET",-0.109022701782883,-0.0841551610782381,-0.368836291913215,0.0138067061143984,0.102193408757774,17,"GL4_LAKE",c(-105.620318, 40.055253),"↓","blue4"
"18","GL4","baseflow","TN","<0.001","GL4_INLET","GL4_OUTLET",-10.5049309664694,-13.6883629191322,-14.8915187376726,-0.315581854043386,6.1488436147925,5,"GL4_LAKE",c(-105.620318, 40.055253),"↓","blue4"
"19","GL4","falling limb","DON","<0.001","GL4_INLET","GL4_OUTLET",-0.0655395886165117,-0.0710059171597633,-0.315581854043393,0.276134122287968,0.100378025032498,35,"GL4_LAKE",c(-105.620318, 40.055253),"↓","goldenrod3"
"20","GL4","falling limb","DOP","<0.05","GL4_INLET","GL4_OUTLET",-0.0539678542951865,-0.019723865877712,-0.532544378698225,0.230769230769231,0.161282978806846,47,"GL4_LAKE",c(-105.620318, 40.055253),"↓","goldenrod3"
"21","GL4","falling limb","IN","<0.001","GL4_INLET","GL4_OUTLET",-4.3422276663662,-3.67455621301775,-27.7958579881657,13.353057199211,6.99162370641763,78,"GL4_LAKE",c(-105.620318, 40.055253),"↓","goldenrod3"
"22","GL4","falling limb","IP","<0.001","GL4_INLET","GL4_OUTLET",-0.0616497243716179,-0.0710059171597633,-0.195266272189349,0.276134122287968,0.0885749280131403,39,"GL4_LAKE",c(-105.620318, 40.055253),"↓","goldenrod3"
"23","GL4","falling limb","TDN","<0.001","GL4_INLET","GL4_OUTLET",-4.75547604733125,-4.08284023668639,-23.7061143984221,9.99408284023669,6.67233201574025,77,"GL4_LAKE",c(-105.620318, 40.055253),"↓","goldenrod3"
"24","GL4","falling limb","TDP","<0.001","GL4_INLET","GL4_OUTLET",-0.109225232707014,-0.0986193293885601,-0.532544378698225,0.149901380670611,0.139909699325245,57,"GL4_LAKE",c(-105.620318, 40.055253),"↓","goldenrod3"
"25","GL4","falling limb","TN","<0.001","GL4_INLET","GL4_OUTLET",-6.49608340377571,-6.5483234714004,-24.4773175542406,8.95463510848126,7.74176717027421,25,"GL4_LAKE",c(-105.620318, 40.055253),"↓","goldenrod3"
"26","GL4","spring snowmelt","DON","<0.001","GL4_INLET","GL4_OUTLET",-0.0713757396449704,-0.0931952662721894,-0.299802761341223,0.248520710059172,0.159224902763821,8,"GL4_LAKE",c(-105.620318, 40.055253),"↓","palegreen4"
"27","GL4","spring snowmelt","DOP","<0.05","GL4_INLET","GL4_OUTLET",-0.00669573341638118,-0.00493096646942801,-0.357001972386588,0.274161735700197,0.149393575005033,19,"GL4_LAKE",c(-105.620318, 40.055253),"↓","palegreen4"
"28","GL4","spring snowmelt","IN","<0.001","GL4_INLET","GL4_OUTLET",-2.13798130520539,-2.62031558185405,-10.6528599605523,4.87179487179487,3.97572097928855,23,"GL4_LAKE",c(-105.620318, 40.055253),"↓","palegreen4"
"29","GL4","spring snowmelt","IP","<0.001","GL4_INLET","GL4_OUTLET",-0.0713757396449704,-0.0931952662721894,-0.299802761341223,0.248520710059172,0.159224902763821,8,"GL4_LAKE",c(-105.620318, 40.055253),"↓","palegreen4"
"30","GL4","spring snowmelt","TDN","<0.001","GL4_INLET","GL4_OUTLET",0.496441128548152,-0.100591715976328,-7.42406311637081,18.1459566074951,5.30867147872111,23,"GL4_LAKE",c(-105.620318, 40.055253),"↑","palegreen4"
"31","GL4","spring snowmelt","TDP","<0.001","GL4_INLET","GL4_OUTLET",-0.0603135056576352,-0.0690335305719921,-0.291913214990138,0.19723865877712,0.107881544706333,19,"GL4_LAKE",c(-105.620318, 40.055253),"↓","palegreen4"
"32","GL4","spring snowmelt","TN","<0.001","GL4_INLET","GL4_OUTLET",-1.58701259292975,-2.05128205128205,-7.32741617357002,8.30374753451676,4.98449489905336,13,"GL4_LAKE",c(-105.620318, 40.055253),"↓","palegreen4"
"33","GL5","baseflow","DOP","<0.05","GL5_INLET","GL5_OUTLET",-0.300831443688587,-0.360544217687075,-0.419501133786848,-0.122448979591837,0.157271126122757,3,"GL5_LAKE",c(-105.630303, 40.052439),"↓","blue4"
"34","GL5","baseflow","TDN","<0.001","GL5_INLET","GL5_OUTLET",-37.875283446712,-32.156462585034,-50.6961451247166,-30.7732426303855,11.1247110068365,3,"GL5_LAKE",c(-105.630303, 40.052439),"↓","blue4"
"35","GL5","baseflow","TDP","<0.001","GL5_INLET","GL5_OUTLET",-0.300831443688587,-0.360544217687075,-0.419501133786848,-0.122448979591837,0.157271126122757,3,"GL5_LAKE",c(-105.630303, 40.052439),"↓","blue4"
"36","GL5","baseflow","TN","<0.001","GL5_INLET","GL5_OUTLET",-38.7755102040816,-37.4829931972789,-44.3764172335601,-34.4671201814059,5.0795169235483,3,"GL5_LAKE",c(-105.630303, 40.052439),"↓","blue4"
"37","GL5","falling limb","DOP","<0.05","GL5_INLET","GL5_OUTLET",-0.160997732426304,-0.102040816326531,-0.523809523809524,0.0839002267573696,0.270421830161811,4,"GL5_LAKE",c(-105.630303, 40.052439),"↓","goldenrod3"
"38","GL5","falling limb","IN","<0.001","GL5_INLET","GL5_OUTLET",-23.3439153439153,-20.9138321995465,-38.9909297052154,-10.4331065759637,10.8857273950529,6,"GL5_LAKE",c(-105.630303, 40.052439),"↓","goldenrod3"
"39","GL5","falling limb","TDN","<0.001","GL5_INLET","GL5_OUTLET",-25.9066515495087,-24.5691609977324,-43.4013605442177,-12.3151927437642,11.1964451790596,6,"GL5_LAKE",c(-105.630303, 40.052439),"↓","goldenrod3"
"40","GL5","falling limb","TDP","<0.001","GL5_INLET","GL5_OUTLET",-0.27437641723356,-0.328798185941043,-0.523809523809524,0.0839002267573696,0.275445653098217,4,"GL5_LAKE",c(-105.630303, 40.052439),"↓","goldenrod3"
"41","GL5","falling limb","TN","<0.001","GL5_INLET","GL5_OUTLET",-21.5374149659864,-20.7482993197279,-34.172335600907,-10.8616780045351,9.81780068330189,5,"GL5_LAKE",c(-105.630303, 40.052439),"↓","goldenrod3"
"42","GL5","spring snowmelt","DOP","<0.05","GL5_INLET","GL5_OUTLET",-0.165532879818594,-0.199546485260771,-0.342403628117914,0.0793650793650794,0.176764120814152,4,"GL5_LAKE",c(-105.630303, 40.052439),"↓","palegreen4"
"43","GL5","spring snowmelt","IN","<0.001","GL5_INLET","GL5_OUTLET",-8.01587301587302,-8.97959183673469,-11.8208616780045,-2.28344671201814,4.5794824613385,4,"GL5_LAKE",c(-105.630303, 40.052439),"↓","palegreen4"
"44","GL5","spring snowmelt","TDN","<0.001","GL5_INLET","GL5_OUTLET",-9.8202947845805,-10.4761904761905,-18.4557823129252,0.126984126984121,7.82602143455932,4,"GL5_LAKE",c(-105.630303, 40.052439),"↓","palegreen4"
"45","GL5","spring snowmelt","TDP","<0.001","GL5_INLET","GL5_OUTLET",-0.165532879818594,-0.199546485260771,-0.342403628117914,0.0793650793650794,0.176764120814152,4,"GL5_LAKE",c(-105.630303, 40.052439),"↓","palegreen4"
"46","GL5","spring snowmelt","TN","<0.001","GL5_INLET","GL5_OUTLET",-7.79478458049886,-8.46938775510204,-14.1950113378685,-0.0453514739229015,5.96920201789972,4,"GL5_LAKE",c(-105.630303, 40.052439),"↓","palegreen4"
"47","reach1","falling limb","TDN","<0.001","Arikaree_GLACIER","GL5_INLET",5.68271334792123,4.30853391684902,4.06455142231948,10.0492341356674,2.92008818018248,4,NA,c(-105.636870723313, 40.0515728637767),"↑","goldenrod3"
"48","reach1","spring snowmelt","TDN","<0.001","Arikaree_GLACIER","GL5_INLET",5.96362144420131,5.81236323851203,4.97155361050328,7.2582056892779,1.00456997024879,4,NA,c(-105.636870723313, 40.0515728637767),"↑","palegreen4"
"49","reach1","falling limb","TN","<0.001","Arikaree_GLACIER","GL5_INLET",6.14059080962801,5.88074398249453,3.62144420131291,9.17943107221006,2.29353215169489,4,NA,c(-105.636870723313, 40.0515728637767),"↑","goldenrod3"
"50","reach1","spring snowmelt","TN","<0.001","Arikaree_GLACIER","GL5_INLET",5.69474835886214,5.55251641137856,5.37199124726477,6.3019693654267,0.414264671450965,4,NA,c(-105.636870723313, 40.0515728637767),"↑","palegreen4"
"51","reach2","falling limb","IP","<0.05","GL5_OUTLET","GL4_INLET",0.043026561952862,0.063973063973064,-0.184175084175084,0.151515151515152,0.0876901948878518,15,NA,c(-105.625212549812, 40.0533797783867),"↑","goldenrod3"
"52","reach2","baseflow","TDN","<0.001","GL5_OUTLET","GL4_INLET",5.72394781144781,5.26271043771044,2.82491582491583,9.54545454545455,2.82842585675638,4,NA,c(-105.625212549812, 40.0533797783867),"↑","blue4"
"53","reach2","falling limb","TDN","<0.001","GL5_OUTLET","GL4_INLET",3.25334595959596,2.79814814814815,-7.94612794612795,14.1599326599327,5.53642401238971,32,NA,c(-105.625212549812, 40.0533797783867),"↑","goldenrod3"
"54","reach2","spring snowmelt","TDN","<0.001","GL5_OUTLET","GL4_INLET",-1.45848225848226,-1.46632996632996,-6.94781144781145,8.79124579124579,4.47925765480389,13,NA,c(-105.625212549812, 40.0533797783867),"↓","palegreen4"
"55","reach2","baseflow","TN","<0.001","GL5_OUTLET","GL4_INLET",3.27721661054994,3.31649831649831,-1.61616161616161,8.13131313131313,4.8738560993818,3,NA,c(-105.625212549812, 40.0533797783867),"↑","blue4"
"56","reach2","falling limb","TN","<0.001","GL5_OUTLET","GL4_INLET",6.05714840714841,6.26262626262626,-1.08585858585859,15.1010101010101,5.09707370100307,13,NA,c(-105.625212549812, 40.0533797783867),"↑","goldenrod3"
"57","reach2","spring snowmelt","TN","<0.001","GL5_OUTLET","GL4_INLET",-3.61055796055796,-3.32878787878788,-11.8181818181818,3.60656565656565,4.87544311638283,7,NA,c(-105.625212549812, 40.0533797783867),"↓","palegreen4"
"58","reach3","falling limb","TDN","<0.001","GL4_OUTLET","GL3_INLET",3.42328042328042,3.80092592592593,-4.27083333333333,14.5115740740741,6.74242847203824,7,NA,c(-105.615767240997, 40.0538588767824),"↑","goldenrod3"
"59","reach3","spring snowmelt","TDN","<0.001","GL4_OUTLET","GL3_INLET",-3.17901234567901,-3.09722222222222,-3.46527777777778,-2.97453703703704,0.255389578638206,3,NA,c(-105.615767240997, 40.0538588767824),"↓","palegreen4"
