"","local_site","location","date","discharge_vol_cm","uid"
"1","GL4","OUTLET",1981-06-12,9786,"GL4_OUTLET"
"2","GL4","OUTLET",1981-06-13,8600,"GL4_OUTLET"
"3","GL4","OUTLET",1981-06-14,7600,"GL4_OUTLET"
"4","GL4","OUTLET",1981-06-15,6700,"GL4_OUTLET"
"5","GL4","OUTLET",1981-06-16,5900,"GL4_OUTLET"
"6","GL4","OUTLET",1981-06-17,5207,"GL4_OUTLET"
"7","GL4","OUTLET",1981-06-18,3100,"GL4_OUTLET"
"8","GL4","OUTLET",1981-06-19,1047,"GL4_OUTLET"
"9","GL4","OUTLET",1981-06-20,1800,"GL4_OUTLET"
"10","GL4","OUTLET",1981-06-21,3000,"GL4_OUTLET"
"11","GL4","OUTLET",1981-06-22,5200,"GL4_OUTLET"
"12","GL4","OUTLET",1981-06-23,9000,"GL4_OUTLET"
"13","GL4","OUTLET",1981-06-24,15036,"GL4_OUTLET"
"14","GL4","OUTLET",1981-06-25,16422,"GL4_OUTLET"
"15","GL4","OUTLET",1981-06-26,16876,"GL4_OUTLET"
"16","GL4","OUTLET",1981-06-27,19533,"GL4_OUTLET"
"17","GL4","OUTLET",1981-06-28,18839,"GL4_OUTLET"
"18","GL4","OUTLET",1981-06-29,15428,"GL4_OUTLET"
"19","GL4","OUTLET",1981-06-30,14363,"GL4_OUTLET"
"20","GL4","OUTLET",1981-07-01,18789,"GL4_OUTLET"
"21","GL4","OUTLET",1981-07-02,27120,"GL4_OUTLET"
"22","GL4","OUTLET",1981-07-03,22563,"GL4_OUTLET"
"23","GL4","OUTLET",1981-07-04,16893,"GL4_OUTLET"
"24","GL4","OUTLET",1981-07-05,14127,"GL4_OUTLET"
"25","GL4","OUTLET",1981-07-06,13142,"GL4_OUTLET"
"26","GL4","OUTLET",1981-07-07,13657,"GL4_OUTLET"
"27","GL4","OUTLET",1981-07-08,13897,"GL4_OUTLET"
"28","GL4","OUTLET",1981-07-09,13077,"GL4_OUTLET"
"29","GL4","OUTLET",1981-07-10,12917,"GL4_OUTLET"
"30","GL4","OUTLET",1981-07-11,12840,"GL4_OUTLET"
"31","GL4","OUTLET",1981-07-12,12874,"GL4_OUTLET"
"32","GL4","OUTLET",1981-07-13,12509,"GL4_OUTLET"
"33","GL4","OUTLET",1981-07-14,10987,"GL4_OUTLET"
"34","GL4","OUTLET",1981-07-15,10493,"GL4_OUTLET"
"35","GL4","OUTLET",1981-07-16,10471,"GL4_OUTLET"
"36","GL4","OUTLET",1981-07-17,9710,"GL4_OUTLET"
"37","GL4","OUTLET",1981-07-18,9005,"GL4_OUTLET"
"38","GL4","OUTLET",1981-07-19,8351,"GL4_OUTLET"
"39","GL4","OUTLET",1981-07-20,7744,"GL4_OUTLET"
"40","GL4","OUTLET",1981-07-21,7182,"GL4_OUTLET"
"41","GL4","OUTLET",1981-07-22,6660,"GL4_OUTLET"
"42","GL4","OUTLET",1981-07-23,6021,"GL4_OUTLET"
"43","GL4","OUTLET",1981-07-24,5972,"GL4_OUTLET"
"44","GL4","OUTLET",1981-07-25,6148,"GL4_OUTLET"
"45","GL4","OUTLET",1981-07-26,6262,"GL4_OUTLET"
"46","GL4","OUTLET",1981-07-27,6143,"GL4_OUTLET"
"47","GL4","OUTLET",1981-07-28,5809,"GL4_OUTLET"
"48","GL4","OUTLET",1981-07-29,5610,"GL4_OUTLET"
"49","GL4","OUTLET",1981-07-30,5518,"GL4_OUTLET"
"50","GL4","OUTLET",1981-07-31,5950,"GL4_OUTLET"
"51","GL4","OUTLET",1981-08-01,6217,"GL4_OUTLET"
"52","GL4","OUTLET",1981-08-02,6067,"GL4_OUTLET"
"53","GL4","OUTLET",1981-08-03,5907,"GL4_OUTLET"
"54","GL4","OUTLET",1981-08-04,5831,"GL4_OUTLET"
"55","GL4","OUTLET",1981-08-05,5758,"GL4_OUTLET"
"56","GL4","OUTLET",1981-08-06,5720,"GL4_OUTLET"
"57","GL4","OUTLET",1981-08-07,5631,"GL4_OUTLET"
"58","GL4","OUTLET",1981-08-08,5613,"GL4_OUTLET"
"59","GL4","OUTLET",1981-08-09,5564,"GL4_OUTLET"
"60","GL4","OUTLET",1981-08-10,5386,"GL4_OUTLET"
