"","waterYear","day_20th","day_50th","day_80th","day_20th_doy","day_50th_doy","day_80th_doy"
"1",2009,2009-06-11,2009-07-09,2009-08-13,162,190,225
"2",2010,2010-06-10,2010-07-01,2010-08-05,161,182,217
"3",2011,2011-06-21,2011-08-02,2011-08-30,172,214,242
"4",2012,2012-06-05,2012-07-17,2012-08-14,157,199,227
"5",2013,2013-06-13,2013-07-11,2013-08-22,164,192,234
"6",2014,2014-06-12,2014-07-17,2014-08-21,163,198,233
"7",2016,2016-06-23,2016-07-14,2016-08-18,175,196,231
"8",2017,2017-06-22,2017-07-13,2017-08-10,173,194,222
"9",2019,2019-06-27,2019-07-18,2019-08-29,178,199,241
"10",2020,2020-06-04,2020-06-25,2020-08-04,156,177,217
