"","site","network_position","eco_type","date","season","depth_m","param","result","mon"
"1","ARIKAREE","1","glacier",1995-07-13,"Snowmelt runoff",NA,"tn.tp",61.4489795918367,7
"2","ARIKAREE","1","glacier",1995-07-20,"Snowmelt runoff",NA,"tn.tp",74.53125,7
"3","ARIKAREE","1","glacier",1995-08-03,"Summer",NA,"tn.tp",186.181818181818,8
"4","ARIKAREE","1","glacier",1995-08-10,"Summer",NA,"tn.tp",81.952380952381,8
"6","ARIKAREE","1","glacier",1995-08-31,"Summer",NA,"tn.tp",61.7,8
"7","ARIKAREE","1","glacier",1995-09-07,"Summer",NA,"tn.tp",38.037037037037,9
"8","ARIKAREE","1","glacier",1995-09-14,"Summer",NA,"tn.tp",98.1176470588235,9
"9","ARIKAREE","1","glacier",1996-06-13,"Snowmelt runoff",NA,"tn.tp",76.5238095238095,6
"10","ARIKAREE","1","glacier",1996-06-20,"Snowmelt runoff",NA,"tn.tp",78.25,6
"11","ARIKAREE","1","glacier",1996-06-27,"Snowmelt runoff",NA,"tn.tp",125.142857142857,6
"12","ARIKAREE","1","glacier",1996-07-04,"Snowmelt runoff",NA,"tn.tp",145.153846153846,7
"13","ARIKAREE","1","glacier",1996-07-18,"Snowmelt runoff",NA,"tn.tp",70.9285714285714,7
"14","ARIKAREE","1","glacier",1996-07-25,"Snowmelt runoff",NA,"tn.tp",60.4375,7
"15","ARIKAREE","1","glacier",1996-08-01,"Summer",NA,"tn.tp",59.0833333333333,8
"16","ARIKAREE","1","glacier",1996-08-08,"Summer",NA,"tn.tp",73.95,8
"17","ARIKAREE","1","glacier",1996-08-15,"Summer",NA,"tn.tp",44.6,8
"18","ARIKAREE","1","glacier",1996-08-22,"Summer",NA,"tn.tp",57.5238095238095,8
"19","ARIKAREE","1","glacier",1996-08-29,"Summer",NA,"tn.tp",34.90625,8
"20","ARIKAREE","1","glacier",1996-09-10,"Summer",NA,"tn.tp",58.4285714285714,9
"21","ARIKAREE","1","glacier",1997-06-19,"Snowmelt runoff",NA,"tn.tp",151.181818181818,6
"22","ARIKAREE","1","glacier",1997-06-26,"Snowmelt runoff",NA,"tn.tp",86.1714285714286,6
"23","ARIKAREE","1","glacier",1997-07-03,"Snowmelt runoff",NA,"tn.tp",171.714285714286,7
"24","ARIKAREE","1","glacier",1997-07-10,"Snowmelt runoff",NA,"tn.tp",137.666666666667,7
"25","ARIKAREE","1","glacier",1997-07-17,"Snowmelt runoff",NA,"tn.tp",70.1052631578947,7
"26","ARIKAREE","1","glacier",1997-07-24,"Snowmelt runoff",NA,"tn.tp",53.2,7
"27","ARIKAREE","1","glacier",1997-08-07,"Summer",NA,"tn.tp",76.6,8
